fund_id,date,lr,ratio_immediate,ratio_settled,n_settled_obs,label,scheme_name,rebase_shape
INF789F1ANG7,2022-01-27,0.9522870043890075,2.5942966338380122,,0,INSUFFICIENT_FORWARD_DATA,UTI - Credit Risk Fund (Segregated - 17022020) - Direct Plan - Growth Option,"not round -- check individually, may be a real event"
INF789F1ANG7,2022-01-31,0.42031018504591705,3.946255506607929,,0,INSUFFICIENT_FORWARD_DATA,UTI - Credit Risk Fund (Segregated - 17022020) - Direct Plan - Growth Option,"not round -- check individually, may be a real event"
INF789F1AOC4,2022-01-27,1.3708531766315128,3.9429494079655547,,0,INSUFFICIENT_FORWARD_DATA,UTI - Medium Term Fund (Segregated - 17022020) - Direct Plan - Growth Option,"not round -- check individually, may be a real event"
INF789F1APF4,2022-01-27,1.3701497378930594,3.940372137916242,,0,INSUFFICIENT_FORWARD_DATA,UTI - Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option,"not round -- check individually, may be a real event"
INF789F1APX7,2022-01-27,1.3710471316991968,3.9440866510538637,,0,INSUFFICIENT_FORWARD_DATA,UTI - Dynamic Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option,"not round -- check individually, may be a real event"
INF789F1AQP1,2022-01-27,1.3712125865625684,3.9443155452436196,,0,INSUFFICIENT_FORWARD_DATA,UTI - Regular Saving Fund (Segregated - 17022020) - Direct Plan - Growth Option,"not round -- check individually, may be a real event"
INF789F1AUU3,2021-02-22,-2.317880786976625,0.09735746271990457,0.09708303099158837,26,REBASE,UTI - BSE Sensex Next 50 Exchange Traded Fund,round x0.1 -- likely face-value change
INF789F1AUV1,2021-02-22,-2.3190185521942914,0.09552048321648428,0.08908043406424652,26,REBASE,UTI Nifty Bank ETF,round x0.1 -- likely face-value change
INF789F1AUW9,2021-03-30,-2.2988435590679033,0.09936063799621796,0.10559533789288475,26,REBASE,UTI Nifty Next 50 Exchange Traded Fund,round x0.1 -- likely face-value change
INF789F1AUX7,2021-03-30,-4.613804383434543,0.009881435676838286,0.010701540785691882,26,REBASE,UTI GOLD Exchange Traded Fund,round x0.01 -- likely face-value change
INF789FB1S71,2018-05-03,4.605326641432285,100.07720589733869,100.52084938307836,26,REBASE,UTI - Overnight Fund - Direct Plan - Growth Option,round x100 -- likely face-value change
INF917K01FE6,2013-08-05,-0.4046781545119648,0.667456130907525,0.6749834269169532,26,REBASE,L&T Money Market Fund -Direct Plan- Growth,"not round -- check individually, may be a real event"
INF959L01GF1,2014-09-21,4.605651271002694,100.09583637094522,101.00040539343604,26,REBASE,Navi Liquid Fund-Direct Plan-Growth Option,round x100 -- likely face-value change
INF959L01GF1,2022-11-27,-4.604821388212284,0.010006944738843887,0.010063068449605927,26,REBASE,Navi Liquid Fund-Direct Plan-Growth Option,round x0.01 -- likely face-value change
INF966L01580,2014-09-23,0.594623920510109,1.813739275892169,1.010242915423358,26,REVERT,quant Multi Asset Allocation Fund-GROWTH OPTION-Direct Plan,"not round -- check individually, may be a real event"
INF966L01580,2014-09-24,-0.5942371467095768,1.0009640278837761,1.0102446220755081,26,REBASE,quant Multi Asset Allocation Fund-GROWTH OPTION-Direct Plan,round x1 -- likely face-value change
INF966L01648,2015-05-27,0.5294609969841825,1.6975099308225667,1.0107766341078976,26,REVERT,quant Large & Mid Cap Fund - Growth Option-Direct Plan,"not round -- check individually, may be a real event"
INF966L01648,2015-05-28,-0.5323038279322913,0.9956548184604621,1.0110001073375128,26,REBASE,quant Large & Mid Cap Fund - Growth Option-Direct Plan,round x1 -- likely face-value change
